index,title_ID,score,knowledge,sub_knowledge
1,Question_2119,1,Linear Lists,Linked Lists
2,Question_2126,1,Linear Lists,Arrays
3,Question_1325,1,Linear Lists,Arrays
4,Question_2143,1,Stacks & Queues,Queues
5,Question_2142,1,Stacks & Queues,Stacks
6,Question_1088,1,Stacks & Queues,Queues
7,Question_2158,1,Tree Basics,Search Tree
8,Question_2160,1,Tree Basics,Tree Traverse
9,Question_11048,1,Tree Basics,Tree Traverse
10,Question_2177,1,Advanced Trees,Forest
11,Question_2185,1,Advanced Trees,Forest
12,Question_12100,1,Advanced Trees,Huffman Tree
13,Question_1142,1,Priority Queues,Priority Queues
14,Question_2188,1,Priority Queues,Priority Queues
15,Question_2189,1,Priority Queues,Priority Queues
16,Question_2217,1,Search,Binary Search
17,Question_2218,1,Search,Binary Search
18,Question_1141,1,Search,Hashing
19,Question_2230,1,Sort,Sorting Algorithms
20,Question_2232,1,Sort,Sorting Algorithms
21,Question_1175,1,Sort,Sorting Algorithms
22,Question_2243,1,Graph,DFS
23,Question_2244,1,Graph,BFS
24,Question_14290,1,Graph,Shortest Path
